copy_id,placement,persona,text,cta_label,notes
intro_A,Intro,Norman,"Știm că e greu uneori. În <1 minut îți arătăm un pas simplu, potrivit ție.","Începem","calming-first; default night"
intro_B,Intro,Balanced,"Câteva întrebări scurte și primești imediat un tip personalizat. <1 minut.","Hai să vedem","default"
intro_C,Intro,Torres,"Hai să găsim acum soluția care ți se potrivește. 6 întrebări. <1 minut. Rezultatul e al tău.","Vreau soluția","action-first; campaigns"
intro_D,Intro,Balanced,"Respiră. În <1 minut primești un pas ușor, adaptat situației tale.","Începem","fallback scurt / latență mare"
intro_E,Intro,Balanced,"3 pași scurți, un rezultat clar. <1 minut și ai un tip pe care îl poți testa diseară.","Hai să vedem","context bedtime"
out_norman_v1,Outro,Norman,"E în regulă. Ai făcut un pas important. În <1 min îți arătăm un gest mic care ușurează seara.","Vreau pasul blând","primary"
out_norman_v2,Outro,Norman,"Mulți părinți simt la fel. Iată un tip simplu, potrivit ție, de încercat diseară.","Arată-mi tipul","fallback"
out_torres_v1,Outro,Torres,"Gata cu incertitudinea. Primești acum pașii clari — durează sub 1 minut.","Deschide pașii","primary"
out_torres_v2,Outro,Torres,"6 răspunsuri → un plan scurt pentru tine. Începe cu pasul 1 în seara asta.","Încep cu pasul 1","fallback"
out_neutral_v1,Outro,Neutral,"Ești la un pas. Rezultatul tău: un tip personalizat pentru seara asta.","Vezi recomandarea","neutral default"
out_confirm_v1,Outro,Confirm,"Da, ce trăiești e normal. Uite soluția scurtă care te ajută acum.","Vreau soluția","pentru progres=confirmare"
out_baby_v1,Outro,Baby,"Pentru vârste mici: un ritual blând de 2 minute, gata de încercat diseară.","Vezi ritualul","micro-branch Q2<2y (replace tail)"
loader_wait_v1,Loader,All,"Un moment — pregătim recomandarea ta.",,"show if feedback_latency>1000ms"
loader_fetch_v1,Loader,All,"Se încarcă recomandarea…",,"skeleton on; P95 ≤1500ms"
safety_line_v1,Safety,All,"Nu înlocuiește un consult medical.",,"opțional; contexte sensibile"
